PCON24CD,Seat,Region,mean_Con,mean_Lab,mean_LDem,mean_Green,mean_Reform,mean_Plaid,mean_SNP,mean_Other,lo_Con,lo_Lab,lo_LDem,lo_Green,lo_Reform,lo_Plaid,lo_SNP,lo_Other,hi_Con,hi_Lab,hi_LDem,hi_Green,hi_Reform,hi_Plaid,hi_SNP,hi_Other
E14001083,Beckenham and Penge,London, 21.90 , 47.07 , 14.03 , 8.24 , 8.77 , -   , -   , -   , 16.59 , 36.25 , 5.17 , 2.15 , 4.26 , -   , -   , -   , 27.72 , 58.24 , 26.20 , 18.73 , 15.58 , -   , -   , -   
E14001084,Bedford,East of England, 22.86 , 49.07 , 10.31 , 3.57 , 10.39 , -   , -   , 3.80 , 17.74 , 40.76 , 4.66 , 0.97 , 5.77 , -   , -   , 0.89 , 27.80 , 57.51 , 17.76 , 7.87 , 17.10 , -   , -   , 8.80 
E14001085,Bermondsey and Old Southwark,London, 11.57 , 39.94 , 36.21 , 1.11 , 4.82 , -   , -   , 6.35 , 7.64 , 27.17 , 22.24 , 0.08 , 1.91 , -   , -   , 1.70 , 15.99 , 52.18 , 52.49 , 4.95 , 10.13 , -   , -   , 14.26 
E14001086,Bethnal Green and Stepney,London, 8.30 , 57.36 , 8.50 , 8.20 , 10.73 , -   , -   , 6.92 , 6.01 , 47.37 , 3.51 , 2.76 , 5.62 , -   , -   , 2.12 , 10.92 , 66.55 , 16.19 , 16.46 , 18.25 , -   , -   , 15.41 
E14001087,Beverley and Holderness,Yorkshire and The Humber, 34.53 , 37.04 , 11.81 , 2.87 , 12.51 , -   , -   , 1.25 , 27.16 , 27.81 , 4.17 , 0.40 , 5.36 , -   , -   , 0.22 , 42.60 , 45.97 , 22.81 , 8.46 , 22.56 , -   , -   , 3.95 
E14001088,Bexhill and Battle,South East, 29.50 , 35.23 , 11.81 , 3.17 , 18.85 , -   , -   , 1.44 , 22.58 , 26.66 , 4.73 , 0.61 , 9.88 , -   , -   , 0.28 , 37.03 , 44.24 , 21.46 , 8.21 , 29.49 , -   , -   , 4.39 
E14001089,Bexleyheath and Crayford,London, 29.64 , 44.35 , 4.58 , 2.78 , 18.64 , -   , -   , -   , 22.75 , 34.87 , 1.33 , 0.61 , 9.30 , -   , -   , -   , 36.83 , 54.14 , 11.41 , 6.74 , 29.74 , -   , -   , -   
E14001090,Bicester and Woodstock,South East, 26.69 , 27.57 , 32.57 , 5.42 , 6.52 , -   , -   , 1.23 , 21.87 , 22.21 , 25.70 , 2.65 , 3.52 , -   , -   , 0.34 , 31.50 , 33.89 , 40.66 , 9.11 , 10.66 , -   , -   , 2.73 
E14001091,Birkenhead,North West, 6.98 , 56.80 , 3.90 , 19.64 , 9.04 , -   , -   , 3.64 , 4.51 , 43.23 , 0.68 , 7.85 , 3.56 , -   , -   , 0.53 , 10.03 , 69.41 , 11.14 , 34.81 , 16.40 , -   , -   , 10.32 
E14001092,Birmingham Edgbaston,West Midlands, 17.81 , 51.63 , 8.81 , 9.62 , 8.16 , -   , -   , 3.98 , 13.82 , 41.57 , 3.38 , 3.39 , 3.68 , -   , -   , 0.93 , 22.26 , 61.10 , 18.11 , 19.08 , 14.90 , -   , -   , 9.49 
E14001093,Birmingham Erdington,West Midlands, 17.51 , 56.07 , 2.26 , 7.19 , 11.05 , -   , -   , 5.93 , 13.27 , 47.06 , 0.74 , 2.48 , 6.11 , -   , -   , 1.86 , 21.95 , 65.70 , 5.07 , 14.02 , 17.90 , -   , -   , 13.21 
E14001094,Birmingham Hall Green and Moseley,West Midlands, 7.29 , 55.91 , 4.87 , 2.44 , 8.98 , -   , -   , 20.51 , 4.85 , 43.05 , 1.40 , 0.39 , 4.17 , -   , -   , 8.57 , 10.40 , 68.06 , 11.10 , 6.99 , 16.27 , -   , -   , 34.76 
E14001095,Birmingham Hodge Hill and Solihull North,West Midlands, 14.46 , 55.51 , 3.99 , 4.27 , 8.22 , -   , -   , 13.55 , 10.65 , 42.63 , 1.10 , 0.76 , 3.66 , -   , -   , 4.18 , 19.05 , 66.88 , 10.34 , 11.15 , 15.23 , -   , -   , 27.63 
E14001096,Birmingham Ladywood,West Midlands, 8.02 , 57.03 , 11.90 , 6.50 , 6.22 , -   , -   , 10.33 , 5.74 , 45.33 , 5.29 , 2.20 , 2.73 , -   , -   , 3.95 , 10.82 , 67.63 , 21.27 , 13.47 , 11.89 , -   , -   , 21.36 
E14001097,Birmingham Northfield,West Midlands, 22.13 , 48.45 , 2.08 , 9.87 , 14.67 , -   , -   , 2.80 , 16.56 , 38.30 , 0.56 , 3.40 , 7.80 , -   , -   , 0.66 , 27.91 , 57.35 , 5.24 , 20.49 , 24.64 , -   , -   , 7.30 
