2019 MP + Result,Constituency + Forecast,,,Code,Region,,CON,LAB,LDM,RFM,GRN,SNP,PLC,OTH,Tot,,Maj,Maj,,21.0%,40.9%,11.5%,15.9%,6.1%,3.5%,1.1%,,Result,,GE2019 RESULTS,,,,,,,,Tot,Vote Share Change,,,,,,,
Barry Gardiner,LAB,LAB,Brent West,E14001123,Greater London,,21.6%,56.0%,5.9%,9.9%,5.8%,,,0.8%,LAB,,34.4%,"16,660",,"10,456","27,116","2,849","4,803","2,786",0,391,,LAB HOLD,,33.8%,53.3%,9.1%,1.6%,1.7%,0.0%,0.0%,0.6%,LAB,-11.7%,+2.0%,-2.9%,+8.1%,+4.3%,,,+0.2%
Ruth Cadbury,LAB,LAB,Brentford and Isleworth,E14001124,Greater London,,16.1%,53.5%,10.3%,11.0%,7.9%,,,1.2%,LAB,,37.4%,"19,312",,"8,297","27,609","5,293","5,674","4,098",0,644,,LAB HOLD,,28.3%,50.3%,16.3%,2.1%,3.0%,0.0%,0.0%,0.0%,LAB,-12.3%,+3.2%,-5.8%,+8.6%,+5.1%,,,+1.3%
Alex Burghart,CON,CON,Brentwood and Ongar,E14001125,East of England,,37.0%,23.1%,13.7%,20.0%,5.7%,,,0.5%,CON,,13.9%,"7,380",,"19,566","12,186","7,236","10,571","3,020",0,252,,CON HOLD,,68.5%,13.7%,13.6%,0.0%,3.2%,0.0%,0.0%,1.0%,CON,-32.0%,+10.0%,+0.7%,+19.3%,+2.6%,,,-0.5%
Ian Liddell-Grainger,CON,LAB,Bridgwater,E14001126,South West,,27.9%,31.3%,16.5%,19.5%,4.0%,,,0.7%,LAB,,3.4%,"1,555",,"12,538","14,092","7,440","8,774","1,820",0,329,,LAB GAIN,,57.9%,20.7%,17.6%,0.0%,2.1%,0.0%,0.0%,1.7%,CON,-30.2%,+10.6%,-0.5%,+18.9%,+2.1%,,,-0.9%
Greg Knight,CON,CON,Bridlington and The Wolds,E14001127,Yorkshire and the Humber,,32.4%,29.4%,6.5%,25.5%,5.0%,,,1.1%,CON,,3.0%,"1,397",,"15,064","13,667","3,025","11,868","2,344",0,504,,CON HOLD,,66.6%,19.9%,7.5%,0.0%,2.9%,0.0%,0.0%,3.2%,CON,-34.3%,+9.4%,-0.6%,+25.2%,+2.4%,,,-2.2%
Martin Vickers,CON,CON,Brigg and Immingham,E14001128,Yorkshire and the Humber,,37.4%,31.3%,4.2%,22.1%,5.0%,,,0.1%,CON,,6.1%,"2,877",,"17,666","14,789","1,981","10,439","2,344",0,57,,CON HOLD,,71.9%,20.2%,4.4%,0.7%,2.8%,0.0%,0.0%,0.0%,CON,-34.8%,+11.5%,0.0%,+20.7%,+2.5%,,,+0.1%
Lloyd Russell-Moyle,LAB,LAB,Brighton Kemptown and Peacehaven,E14001129,South East,,15.8%,62.2%,6.8%,,13.3%,,,1.9%,LAB,,46.4%,"22,988",,"7,795","30,782","3,361",0,"6,587",0,938,,LAB HOLD,,34.4%,51.2%,6.0%,2.7%,5.7%,0.0%,0.0%,0.0%,LAB,-19.1%,+11.0%,+1.0%,-2.7%,+7.9%,,,+1.9%
Caroline Lucas,GRN,GRN,Brighton Pavilion,E14001130,South East,,3.8%,34.6%,4.3%,5.5%,51.0%,,,0.8%,GRN,,16.4%,"9,357",,"2,162","19,745","2,467","3,143","29,102",0,475,,GRN HOLD,,17.7%,22.7%,0.0%,1.3%,57.1%,0.0%,0.0%,1.2%,GRN,-14.1%,+11.9%,+4.5%,+4.0%,-6.0%,,,-0.4%
Thangam Debbonaire,LAB,GRN,Bristol Central,E14001131,South West,,3.1%,42.4%,3.0%,4.2%,46.2%,,,1.2%,GRN,,3.8%,"1,948",,"1,585","21,787","1,541","2,151","23,735",0,607,,GRN GAIN,,14.3%,58.5%,0.0%,1.2%,26.0%,0.0%,0.0%,0.0%,LAB,-11.4%,-15.7%,+3.1%,+2.9%,+20.1%,,,+1.1%
Kerry McCarthy,LAB,LAB,Bristol East,E14001132,South West,,10.5%,62.3%,6.4%,,17.9%,,,2.9%,LAB,,44.4%,"24,501",,"5,792","34,414","3,560",0,"9,913",0,"1,601",,LAB HOLD,,23.3%,58.4%,7.0%,2.9%,8.4%,0.0%,0.0%,0.0%,LAB,-13.1%,+3.7%,-0.3%,-2.9%,+9.7%,,,+2.9%
Unknown (new seat),LAB,LAB,Bristol North East,E14001133,South West,,12.9%,57.7%,4.6%,15.6%,8.8%,,,0.4%,LAB,,42.1%,"20,577",,"6,326","28,219","2,232","7,642","4,304",0,203,,LAB HOLD,,39.1%,50.3%,5.1%,1.5%,4.0%,0.0%,0.0%,0.0%,LAB,-26.6%,+7.6%,-0.3%,+13.8%,+5.1%,,,+0.4%
Darren Jones,LAB,LAB,Bristol North West,E14001134,South West,,10.3%,58.6%,6.6%,11.0%,13.0%,,,0.4%,LAB,,45.6%,"26,686",,"6,015","34,261","3,870","6,449","7,575",0,262,,LAB HOLD,,36.5%,48.9%,8.1%,0.1%,6.4%,0.0%,0.0%,0.0%,LAB,-26.4%,+9.7%,-1.2%,+10.6%,+6.9%,,,+0.5%
Karin Smyth,LAB,LAB,Bristol South,E14001135,South West,,8.5%,58.3%,5.3%,15.6%,11.7%,,,0.5%,LAB,,42.7%,"20,632",,"4,123","28,153","2,566","7,521","5,637",0,254,,LAB HOLD,,32.8%,51.6%,6.2%,4.3%,5.1%,0.0%,0.0%,0.0%,LAB,-24.4%,+6.9%,-0.6%,+10.9%,+6.8%,,,+0.6%
Jerome Mayhew,CON,LAB,Broadland and Fakenham,E14001136,East of England,,28.3%,31.9%,13.9%,20.6%,5.1%,,,0.2%,LAB,,3.6%,"1,863",,"14,962","16,825","7,317","10,851","2,698",0,131,,LAB GAIN,,59.2%,21.6%,16.1%,0.0%,2.5%,0.0%,0.0%,0.7%,CON,-31.5%,+10.0%,-1.6%,+20.7%,+2.8%,,,-0.4%
Bob Neill,CON,CON,Bromley and Biggin Hill,E14001137,Greater London,,36.5%,32.5%,10.0%,13.9%,6.6%,,,0.5%,CON,,4.0%,"1,962",,"17,920","15,958","4,886","6,813","3,264",0,241,,CON HOLD,,54.5%,25.1%,16.0%,0.0%,3.7%,0.0%,0.0%,0.8%,CON,-18.2%,+7.5%,-5.8%,+13.6%,+3.1%,,,-0.2%
Sajid Javid,CON,LAB,Bromsgrove,E14001138,West Midlands,,32.4%,32.6%,10.2%,18.8%,5.5%,,,0.4%,LAB,,0.2%,117,,"17,605","17,722","5,556","10,198","2,975",0,240,,LAB GAIN,,63.4%,20.8%,12.5%,0.0%,3.3%,0.0%,0.0%,0.0%,CON,-31.3%,+12.0%,-1.8%,+18.3%,+2.3%,,,+0.6%
Charles Walker,CON,LAB,Broxbourne,E14001139,East of England,,33.4%,34.0%,7.5%,19.1%,5.5%,,,0.6%,LAB,,0.6%,293,,"15,930","16,224","3,559","9,086","2,606",0,282,,LAB GAIN,,64.2%,24.0%,9.0%,0.0%,2.8%,0.0%,0.0%,0.0%,CON,-30.7%,+9.6%,-1.0%,+18.8%,+2.7%,,,+0.6%
Darren Henry,CON,LAB,Broxtowe,E14001140,East Midlands,,18.0%,49.6%,4.0%,22.2%,5.6%,,,0.6%,LAB,,27.4%,"14,611",,"9,599","26,464","2,116","11,853","2,982",0,317,,LAB GAIN,x,45.2%,38.0%,0.5%,0.7%,3.0%,0.0%,0.0%,12.6%,CON,-27.4%,+11.9%,+3.6%,+21.1%,+2.8%,,,-12.1%
Unknown (new seat),CON,LAB,Buckingham and Bletchley,E14001141,South East,,24.8%,40.9%,11.6%,17.1%,4.9%,,,0.6%,LAB,,16.1%,"8,472",,"13,049","21,521","6,076","9,001","2,594",0,340,,LAB GAIN,,53.1%,27.7%,15.4%,1.0%,1.2%,0.0%,0.0%,1.7%,CON,-28.6%,+13.3%,-3.3%,+15.7%,+3.9%,,,-1.0%
Antony Higginbotham,CON,LAB,Burnley,E14001142,North West,,14.7%,49.9%,5.9%,24.7%,4.1%,,,0.7%,LAB,,25.2%,"11,837",,"6,909","23,468","2,798","11,631","1,942",0,323,,LAB GAIN,x,40.5%,40.2%,7.7%,7.1%,1.8%,0.0%,0.0%,2.8%,CON,-25.9%,+9.9%,-1.4%,+17.0%,+2.4%,,,-2.1%
Kate Griffiths,CON,LAB,Burton and Uttoxeter,E14001143,West Midlands,,29.2%,40.3%,5.0%,19.9%,5.2%,,,0.4%,LAB,,11.1%,"5,400",,"14,237","19,637","2,455","9,719","2,525",0,174,,LAB GAIN,,60.7%,30.9%,5.5%,0.0%,2.9%,0.0%,0.0%,0.0%,CON,-31.4%,+8.9%,-0.2%,+20.0%,+2.4%,,,+0.4%
James Daly,CON,LAB,Bury North,E14001144,North West,,19.7%,55.4%,2.6%,18.3%,3.7%,,,0.4%,LAB,,35.7%,"19,094",,"10,504","29,599","1,398","9,778","1,970",0,195,,LAB GAIN,x,47.3%,44.9%,3.1%,2.7%,1.8%,0.0%,0.0%,0.3%,CON,-27.9%,+10.8%,-0.3%,+15.2%,+2.1%,,,0.0%
Christian Wakeford,CON,LAB,Bury South,E14001145,North West,,16.5%,51.7%,5.4%,21.5%,4.1%,,,0.8%,LAB,,30.2%,"14,973",,"8,206","25,638","2,676","10,665","2,050",0,373,,LAB GAIN,x,43.5%,41.6%,6.2%,3.7%,1.8%,0.0%,0.0%,3.3%,CON,-27.2%,+10.3%,-0.5%,+17.4%,+2.5%,,,-2.5%
Jo Churchill,CON,LAB,Bury St Edmunds and Stowmarket,E14001146,East of England,,29.5%,30.6%,6.7%,20.1%,12.4%,,,0.7%,LAB,,1.1%,576,,"15,491","16,067","3,521","10,537","6,514",0,375,,LAB GAIN,,62.9%,20.8%,1.1%,0.0%,12.4%,0.0%,0.0%,2.7%,CON,-33.7%,+10.1%,+6.0%,+19.5%,+0.1%,,,-2.0%
Craig Whittaker,CON,LAB,Calder Valley,E14001147,Yorkshire and the Humber,,21.0%,52.5%,4.2%,17.6%,4.3%,,,0.5%,LAB,,31.5%,"17,795",,"11,847","29,642","2,359","9,935","2,409",0,266,,LAB GAIN,x,51.4%,42.3%,5.1%,0.0%,0.0%,0.0%,0.0%,1.3%,CON,-30.6%,+10.3%,-0.6%,+17.3%,+4.4%,,,-0.8%
George Eustice,CON,LAB,Camborne and Redruth,E14001148,South West,,23.2%,46.3%,6.5%,18.1%,5.3%,,,0.5%,LAB,,23.1%,"11,915",,"11,983","23,898","3,365","9,341","2,738",0,246,,LAB GAIN,,53.3%,34.2%,8.5%,0.0%,2.8%,0.0%,0.0%,1.3%,CON,-30.3%,+12.2%,-1.6%,+17.7%,+2.7%,,,-0.8%
Daniel Zeichner,LAB,LAB,Cambridge,E14001149,East of England,,6.9%,54.3%,26.6%,,10.1%,,,2.2%,LAB,,27.7%,"13,784",,"3,419","27,031","13,248",0,"5,005",0,"1,073",,LAB HOLD,,14.8%,47.5%,31.2%,1.9%,4.2%,0.0%,0.0%,0.5%,LAB,-8.1%,+6.6%,-4.2%,-1.9%,+6.0%,,,+1.6%
Amanda Milling,CON,LAB,Cannock Chase,E14001150,West Midlands,,29.6%,35.4%,3.9%,22.0%,9.1%,,,0.1%,LAB,,5.8%,"2,709",,"13,695","16,404","1,788","10,187","4,205",0,53,,LAB GAIN,,68.3%,25.4%,0.0%,0.0%,6.3%,0.0%,0.0%,0.0%,CON,-39.2%,+9.6%,+4.0%,+22.4%,+3.1%,,,+0.1%
Rosie Duffield,LAB,LAB,Canterbury,E14001151,South East,,15.9%,56.5%,5.0%,14.9%,7.2%,,,0.5%,LAB,,40.6%,"23,187",,"9,093","32,280","2,884","8,520","4,092",0,283,,LAB HOLD,x,44.8%,48.6%,5.7%,0.0%,0.0%,0.0%,0.0%,0.9%,LAB,-29.1%,+8.0%,-0.4%,+14.5%,+7.4%,,,-0.4%
John Stevenson,CON,LAB,Carlisle,E14001152,North West,,24.6%,45.3%,4.0%,22.0%,3.6%,,,0.5%,LAB,,20.7%,"10,571",,"12,613","23,184","2,056","11,257","1,826",0,276,,LAB GAIN,,56.5%,34.5%,5.0%,0.0%,1.6%,0.0%,0.0%,2.4%,CON,-32.0%,+11.0%,-0.7%,+21.5%,+2.1%,,,-1.9%
Elliot Colburn,CON,LDM,Carshalton and Wallington,E14001153,Greater London,,26.5%,12.1%,44.3%,13.9%,2.6%,,,0.6%,LDM,,17.8%,"8,761",,"12,993","5,943","21,754","6,825","1,279",0,316,,LDM GAIN,x,42.4%,12.4%,41.1%,2.1%,1.6%,0.0%,0.0%,0.4%,CON,-16.2%,-0.3%,+3.5%,+11.5%,+1.1%,,,+0.3%
Rebecca Harris,CON,CON,Castle Point,E14001154,East of England,,38.5%,25.7%,5.4%,26.5%,3.7%,,,0.1%,CON,,12.0%,"5,457",,"17,439","11,632","2,457","11,982","1,686",0,53,,CON HOLD,,76.5%,16.8%,6.6%,0.0%,0.0%,0.0%,0.0%,0.0%,CON,-38.3%,+9.3%,-0.9%,+26.0%,+3.8%,,,+0.1%
Mel Stride,CON,LAB,Central Devon,E14001155,South West,,25.3%,34.1%,12.5%,18.6%,9.0%,,,0.5%,LAB,C,8.8%,"5,012",,"14,343","19,355","7,067","10,581","5,120",0,269,,LAB GAIN,,55.3%,24.8%,15.0%,0.0%,4.9%,0.0%,0.0%,0.0%,CON,-30.4%,+9.3%,-1.9%,+18.2%,+4.3%,,,+0.5%
Dan Poulter,CON,LAB,Central Suffolk and North Ipswich,E14001156,East of England,,29.1%,29.5%,9.4%,20.7%,10.9%,,,0.3%,LAB,,0.4%,186,,"14,688","14,873","4,746","10,458","5,504",0,155,,LAB GAIN,,61.9%,21.8%,10.6%,0.0%,5.6%,0.0%,0.0%,0.0%,CON,-33.6%,+7.9%,-1.0%,+20.8%,+5.6%,,,+0.3%
Tracey Crouch,CON,LAB,Chatham and Aylesford,E14001157,South East,,33.3%,35.7%,5.2%,20.2%,5.0%,,,0.7%,LAB,,2.4%,"1,073",,"15,261","16,335","2,375","9,245","2,277",0,309,,LAB GAIN,,65.9%,24.4%,6.7%,0.0%,2.5%,0.0%,0.0%,0.5%,CON,-32.7%,+11.5%,-1.3%,+19.7%,+2.6%,,,+0.2%
Mary Robinson,CON,LDM,Cheadle,E14001158,North West,,17.5%,14.8%,48.1%,16.1%,3.0%,,,0.5%,LDM,,30.6%,"17,089",,"9,788","8,292","26,877","8,980","1,702",0,283,,LDM GAIN,x,46.0%,12.3%,41.8%,0.0%,0.0%,0.0%,0.0%,0.0%,CON,-28.8%,+2.5%,+7.0%,+15.7%,+3.1%,,,+0.5%
Vicky Ford,CON,LDM,Chelmsford,E14001159,East of England,,24.7%,20.3%,35.3%,15.7%,3.3%,,,0.6%,LDM,,10.6%,"5,704",,"13,313","10,914","19,016","8,466","1,788",0,326,,LDM GAIN,,54.7%,18.2%,26.1%,0.0%,0.0%,0.0%,0.0%,1.1%,CON,-30.4%,+2.1%,+10.0%,+15.3%,+3.4%,,,-0.4%
Greg Hands,CON,LAB,Chelsea and Fulham,E14001160,Greater London,,30.8%,38.0%,15.0%,9.5%,6.1%,,,0.5%,LAB,,7.2%,"3,940",,"16,863","20,803","8,232","5,213","3,353",0,297,,LAB GAIN,,45.5%,29.1%,23.8%,0.3%,0.4%,0.0%,0.0%,0.9%,CON,-15.1%,+9.1%,-8.6%,+9.1%,+5.8%,,,-0.3%
Alex Chalk,CON,LDM,Cheltenham,E14001161,South West,,26.3%,8.6%,59.2%,,3.9%,,,1.9%,LDM,C,32.9%,"18,690",,"14,965","4,913","33,655",0,"2,223",0,"1,084",,LDM GAIN,x,48.5%,4.8%,46.0%,0.0%,0.0%,0.0%,0.0%,0.8%,CON,-22.5%,+3.8%,+13.6%,0.0%,+4.0%,,,+1.1%
Cheryl Gillan,CON,LDM,Chesham and Amersham,E14001162,South East,,27.8%,13.9%,41.9%,9.7%,5.8%,,,0.9%,LDM,,14.1%,"7,588",,"14,899","7,459","22,487","5,229","3,126",0,489,,LDM GAIN,,56.4%,13.9%,22.4%,0.0%,4.8%,0.0%,0.0%,2.5%,CON,-28.9%,-0.1%,+19.8%,+9.6%,+1.1%,,,-1.6%
Chris Matheson,LAB,LAB,Chester North and Neston,E14001163,North West,,14.1%,60.7%,6.0%,13.2%,5.5%,,,0.5%,LAB,,46.6%,"25,170",,"7,596","32,766","3,223","7,147","2,976",0,247,,LAB HOLD,,38.5%,50.3%,6.2%,2.8%,2.2%,0.0%,0.0%,0.0%,LAB,-24.8%,+10.4%,-0.1%,+10.6%,+3.5%,,,+0.4%
Edward Timpson,CON,LAB,Chester South and Eddisbury,E14001164,North West,,29.7%,35.4%,12.4%,17.7%,4.3%,,,0.6%,LAB,,5.7%,"3,184",,"16,371","19,555","6,830","9,755","2,390",0,305,,LAB GAIN,,59.2%,21.5%,15.3%,1.0%,2.1%,0.0%,0.0%,0.8%,CON,-30.0%,+14.0%,-2.3%,+16.3%,+2.3%,,,-0.3%
Toby Perkins,LAB,LAB,Chesterfield,E14001165,East Midlands,,13.5%,49.2%,7.0%,23.6%,6.2%,,,0.5%,LAB,,25.6%,"11,583",,"6,080","22,237","3,174","10,654","2,821",0,227,,LAB HOLD,x,37.0%,40.2%,8.8%,10.6%,2.5%,0.0%,0.0%,0.9%,LAB,-23.7%,+9.1%,-1.4%,+12.5%,+3.9%,,,-0.4%
Gillian Keegan,CON,LDM,Chichester,E14001166,South East,,26.0%,18.3%,27.7%,20.5%,6.9%,,,0.7%,LDM,C,1.7%,826,,"13,296","9,321","14,123","10,460","3,506",0,342,,LDM GAIN,,58.8%,15.4%,20.3%,0.0%,4.9%,0.0%,0.0%,0.7%,CON,-33.4%,+1.7%,+8.9%,+20.4%,+2.3%,,,0.0%
Iain Duncan Smith,CON,LAB,Chingford and Woodford Green,E14001167,Greater London,,32.7%,43.3%,3.0%,11.0%,4.7%,,,5.4%,LAB,,10.6%,"5,779",,"17,857","23,636","1,638","5,996","2,568",0,"2,945",,LAB GAIN,x,48.2%,45.3%,5.9%,0.3%,0.4%,0.0%,0.0%,0.0%,CON,-14.7%,-3.0%,-2.8%,+10.3%,+4.4%,,,+5.8%
Michelle Donelan,CON,LDM,Chippenham,E14001168,South West,,27.0%,14.8%,38.5%,16.4%,2.7%,,,0.5%,LDM,,11.5%,"5,816",,"13,653","7,484","19,469","8,276","1,377",0,253,,LDM GAIN,,56.4%,11.7%,30.3%,0.0%,1.7%,0.0%,0.0%,0.0%,CON,-29.7%,+3.1%,+9.0%,+16.0%,+1.1%,,,+0.5%
Theresa Villiers,CON,LAB,Chipping Barnet,E14001169,Greater London,,32.5%,47.0%,4.8%,10.5%,4.8%,,,0.4%,LAB,,14.5%,"8,493",,"19,000","27,493","2,779","6,139","2,795",0,231,,LAB GAIN,x,47.6%,40.3%,9.8%,0.0%,2.2%,0.0%,0.0%,0.1%,CON,-15.3%,+6.9%,-4.9%,+10.3%,+2.7%,,,+0.3%
Lindsay Hoyle,SPKR,SPKR,Chorley,E14001170,North West,,,,,,14.2%,,,85.8%,SPKR,,#NUM!,"28,591",,0,0,0,0,"5,652",0,"34,242",,SPKR HOLD,,0.0%,0.0%,0.0%,0.0%,9.0%,0.0%,0.0%,91.0%,SPKR,0.0%,0.0%,0.0%,0.0%,+5.5%,,,-5.5%
Christopher Chope,CON,CON,Christchurch,E14001171,South West,,34.2%,18.3%,18.9%,21.7%,6.0%,,,0.8%,CON,,12.5%,"6,475",,"17,740","9,523","9,823","11,265","3,139",0,418,,CON HOLD,,65.6%,12.9%,17.4%,0.0%,4.2%,0.0%,0.0%,0.0%,CON,-31.9%,+5.3%,+2.3%,+21.4%,+1.9%,,,+1.0%
Nickie Aiken,CON,LAB,Cities of London and Westminster,E14001172,Greater London,,27.2%,36.4%,20.9%,8.8%,5.7%,,,1.0%,LAB,,9.2%,"4,806",,"14,161","18,967","10,899","4,612","2,993",0,517,,LAB GAIN,,40.3%,28.9%,28.2%,0.2%,1.9%,0.0%,0.0%,0.4%,CON,-13.6%,+7.6%,-7.1%,+8.6%,+3.9%,,,+0.6%
Mary Foy,LAB,LAB,City of Durham,E14001173,North East,,8.8%,50.4%,12.8%,19.5%,7.9%,,,0.5%,LAB,,30.9%,"15,850",,"4,527","25,875","6,577","10,025","4,040",0,263,,LAB HOLD,x,31.9%,40.9%,16.9%,6.6%,3.3%,0.0%,0.0%,0.4%,LAB,-23.3%,+9.3%,-3.5%,+12.6%,+4.8%,,,+0.1%
Giles Watling,CON,RFM,Clacton,E14001174,East of England,,25.5%,21.2%,4.6%,42.8%,4.9%,,,1.0%,RFM,,17.3%,"7,886",,"11,663","9,662","2,082","19,549","2,240",0,455,,RFM GAIN,,71.9%,15.6%,6.2%,0.0%,2.9%,0.0%,0.0%,3.4%,CON,-47.0%,+5.3%,-1.4%,+43.5%,+2.1%,,,-2.5%
Bell Ribeiro-Addy,LAB,LAB,Clapham and Brixton Hill,E14001175,Greater London,,9.4%,61.6%,12.8%,5.6%,9.9%,,,0.7%,LAB,,48.8%,"23,683",,"4,571","29,927","6,244","2,716","4,809",0,329,,LAB HOLD,,19.5%,55.4%,19.8%,1.1%,4.2%,0.0%,0.0%,0.0%,LAB,-10.3%,+6.2%,-6.7%,+4.3%,+5.8%,,,+0.7%
Will Quince,CON,LAB,Colchester,E14001176,East of England,,22.6%,42.0%,11.5%,16.7%,6.6%,,,0.5%,LAB,,19.4%,"9,517",,"11,110","20,627","5,658","8,197","3,260",0,252,,LAB GAIN,,52.3%,30.1%,14.7%,0.0%,2.9%,0.0%,0.0%,0.0%,CON,-30.0%,+12.0%,-2.6%,+16.2%,+3.9%,,,+0.6%
Jason McCartney,CON,LAB,Colne Valley,E14001177,Yorkshire and the Humber,,22.9%,48.8%,5.5%,18.3%,3.8%,,,0.7%,LAB,,25.9%,"13,379",,"11,868","25,247","2,853","9,490","1,946",0,374,,LAB GAIN,,51.2%,36.2%,7.0%,2.1%,1.7%,0.0%,0.0%,1.7%,CON,-28.6%,+12.7%,-1.2%,+15.9%,+2.1%,,,-1.0%
Fiona Bruce,CON,LAB,Congleton,E14001178,North West,,29.8%,36.5%,7.9%,20.1%,4.9%,,,0.7%,LAB,,6.7%,"3,342",,"14,831","18,173","3,951","10,006","2,463",0,369,,LAB GAIN,,60.6%,24.1%,11.1%,0.0%,2.9%,0.0%,0.0%,1.3%,CON,-31.3%,+12.4%,-2.9%,+20.0%,+2.2%,,,-0.4%
Tom Pursglove,CON,LAB,Corby and East Northamptonshire,E14001179,East Midlands,,22.2%,47.7%,5.1%,20.6%,4.1%,,,0.3%,LAB,,25.5%,"13,743",,"11,946","25,688","2,759","11,113","2,227",0,143,,LAB GAIN,,54.6%,38.5%,6.8%,0.0%,0.0%,0.0%,0.0%,0.0%,CON,-32.7%,+9.4%,-1.4%,+20.3%,+4.3%,,,+0.2%
Colleen Fletcher,LAB,LAB,Coventry East,E14001180,West Midlands,,10.3%,59.7%,5.5%,18.4%,5.3%,,,0.7%,LAB,,41.3%,"17,645",,"4,416","25,520","2,333","7,875","2,271",0,298,,LAB HOLD,,35.0%,52.1%,5.4%,5.1%,2.3%,0.0%,0.0%,0.0%,LAB,-24.9%,+7.8%,+0.3%,+12.9%,+3.2%,,,+0.7%
Taiwo Owatemi,LAB,LAB,Coventry North West,E14001181,West Midlands,,16.9%,52.1%,5.7%,18.2%,6.8%,,,0.4%,LAB,,33.9%,"16,168",,"8,066","24,845","2,734","8,677","3,228",0,181,,LAB HOLD,x,43.4%,43.8%,5.7%,4.1%,3.0%,0.0%,0.0%,0.0%,LAB,-26.7%,+8.4%,+0.3%,+13.7%,+3.9%,,,+0.4%
Zarah Sultana,LAB,LAB,Coventry South,E14001182,West Midlands,,17.4%,55.4%,6.0%,13.9%,6.7%,,,0.6%,LAB,,38.0%,"17,782",,"8,139","25,921","2,800","6,484","3,143",0,299,,LAB HOLD,x,42.5%,44.3%,6.7%,2.9%,2.7%,0.0%,0.0%,0.9%,LAB,-25.4%,+11.2%,-0.4%,+10.6%,+4.3%,,,-0.3%
Unknown (changed seat),LAB,LAB,Cramlington and Killingworth,E14001183,North East,,13.7%,52.0%,4.9%,23.5%,5.2%,,,0.7%,LAB,,28.5%,"13,672",,"6,608","24,980","2,371","11,308","2,502",0,313,,LAB HOLD,x,39.9%,44.4%,5.2%,8.0%,2.5%,0.0%,0.0%,0.0%,LAB,-26.4%,+7.7%,0.0%,+15.2%,+2.9%,,,+0.6%
Henry Smith,CON,LAB,Crawley,E14001184,South East,,23.6%,47.2%,4.8%,17.7%,6.1%,,,0.6%,LAB,,23.6%,"11,764",,"11,760","23,525","2,411","8,849","3,058",0,276,,LAB GAIN,,54.2%,37.4%,5.5%,0.0%,2.9%,0.0%,0.0%,0.0%,CON,-30.9%,+9.9%,-0.4%,+17.4%,+3.4%,,,+0.6%
Kieran Mullan,CON,LAB,Crewe and Nantwich,E14001185,North West,,20.7%,49.9%,3.8%,21.1%,4.1%,,,0.3%,LAB,,28.8%,"14,460",,"10,402","25,042","1,924","10,581","2,063",0,151,,LAB GAIN,,50.8%,39.2%,5.1%,2.6%,1.9%,0.0%,0.0%,0.3%,CON,-30.2%,+10.8%,-1.0%,+18.1%,+2.4%,,,0.0%
Sarah Jones,LAB,LAB,Croydon East,E14001186,Greater London,,25.7%,50.3%,4.7%,13.5%,5.7%,,,0.1%,LAB,,24.6%,"12,434",,"13,015","25,449","2,394","6,839","2,874",0,61,,LAB HOLD,x,41.3%,48.1%,6.6%,1.7%,2.3%,0.0%,0.0%,0.0%,LAB,-15.6%,+1.6%,-1.5%,+12.0%,+3.4%,,,+0.1%
Chris Philp,CON,CON,Croydon South,E14001187,Greater London,,38.8%,36.1%,7.0%,11.6%,5.7%,,,0.7%,CON,,2.7%,"1,373",,"19,745","18,372","3,575","5,921","2,920",0,333,,CON HOLD,,54.5%,28.1%,13.5%,0.1%,2.9%,0.0%,0.0%,0.9%,CON,-15.9%,+8.1%,-6.3%,+11.3%,+3.0%,,,-0.2%
Steve Reed,LAB,LAB,Croydon West,E14001188,Greater London,,10.2%,67.6%,4.6%,9.1%,7.5%,,,1.0%,LAB,,57.4%,"25,543",,"4,522","30,066","2,034","4,048","3,356",0,444,,LAB HOLD,,21.5%,66.7%,7.0%,1.3%,2.7%,0.0%,0.0%,0.8%,LAB,-11.5%,+1.0%,-2.2%,+7.5%,+5.0%,,,+0.2%
Jon Cruddas,LAB,LAB,Dagenham and Rainham,E14001189,Greater London,,26.1%,46.1%,2.5%,20.1%,4.1%,,,1.1%,LAB,,20.0%,"8,768",,"11,486","20,254","1,096","8,842","1,801",0,476,,LAB HOLD,x,43.1%,44.7%,3.0%,6.6%,1.5%,0.0%,0.0%,1.0%,LAB,-17.1%,+1.5%,-0.4%,+13.2%,+2.7%,,,+0.1%
Peter Gibson,CON,LAB,Darlington,E14001190,North East,,21.1%,50.0%,3.7%,19.9%,5.0%,,,0.2%,LAB,,28.9%,"13,359",,"9,771","23,130","1,717","9,221","2,332",0,112,,LAB GAIN,,49.7%,38.9%,4.6%,3.6%,2.5%,0.0%,0.0%,0.6%,CON,-28.8%,+11.2%,-0.7%,+16.0%,+2.6%,,,-0.4%
Gareth Johnson,CON,LAB,Dartford,E14001191,South East,,29.5%,40.9%,5.4%,19.0%,5.0%,,,0.1%,LAB,,11.4%,"5,268",,"13,726","18,994","2,507","8,852","2,332",0,59,,LAB GAIN,,61.1%,29.5%,7.0%,0.0%,2.4%,0.0%,0.0%,0.0%,CON,-31.9%,+11.8%,-1.3%,+18.7%,+2.7%,,,+0.1%
