2019 MP + Result,Constituency + Forecast,,,Code,Region,,CON,LAB,LDM,RFM,GRN,SNP,PLC,OTH,Tot,,Maj,Maj,,21.0%,40.9%,11.5%,15.9%,6.1%,3.5%,1.1%,,Result,,GE2019 RESULTS,,,,,,,,Tot,Vote Share Change,,,,,,,
John Baron,CON,LAB,Basildon and Billericay,E14001077,East of England,,32.8%,32.9%,7.4%,20.6%,5.5%,,,0.7%,LAB,C,0.1%,39,,"15,387","15,427","3,482","9,671","2,592",0,330,,LAB GAIN,,65.9%,21.6%,8.4%,0.0%,3.0%,0.0%,0.0%,1.1%,CON,-33.4%,+11.6%,-0.6%,+20.2%,+2.6%,,,-0.4%
Maria Miller,CON,LAB,Basingstoke,E14001078,South East,,26.3%,42.8%,9.9%,12.3%,7.6%,,,1.1%,LAB,,16.5%,"8,413",,"13,461","21,874","5,058","6,301","3,895",0,572,,LAB GAIN,,52.7%,28.7%,13.3%,0.0%,3.9%,0.0%,0.0%,1.5%,CON,-26.8%,+14.2%,-3.0%,+12.0%,+3.9%,,,-0.3%
Brendan Clarke-Smith,CON,LAB,Bassetlaw,E14001079,East Midlands,,26.2%,39.3%,4.8%,25.4%,4.2%,,,0.1%,LAB,,13.1%,"6,232",,"12,477","18,709","2,308","12,095","2,017",0,55,,LAB GAIN,,54.4%,28.0%,6.7%,10.9%,0.0%,0.0%,0.0%,0.0%,CON,-28.5%,+11.5%,-1.6%,+14.2%,+4.4%,,,+0.1%
Wera Hobhouse,LDM,LDM,Bath,E14001080,South West,,8.5%,17.5%,52.6%,11.2%,9.0%,,,1.1%,LDM,,35.1%,"19,987",,"4,850","9,971","29,959","6,351","5,128",0,650,,LDM HOLD,,32.1%,12.5%,53.4%,1.1%,0.3%,0.0%,0.0%,0.6%,LDM,-23.8%,+4.9%,-0.3%,+9.7%,+8.9%,,,+0.6%
Marsha De Cordova,LAB,LAB,Battersea,E14001081,Greater London,,21.3%,54.2%,8.6%,8.2%,7.0%,,,0.7%,LAB,,32.9%,"18,092",,"11,667","29,759","4,745","4,514","3,841",0,371,,LAB HOLD,,35.4%,46.4%,15.1%,0.6%,2.5%,0.0%,0.0%,0.0%,LAB,-14.4%,+7.9%,-6.2%,+7.4%,+4.6%,,,+0.7%
Joy Morrissey,CON,CON,Beaconsfield,E14001082,South East,,30.9%,19.9%,22.4%,19.6%,6.7%,,,0.4%,CON,,8.5%,"4,450",,"16,259","10,494","11,809","10,315","3,532",0,237,,CON HOLD,,55.5%,9.9%,0.0%,0.0%,3.7%,0.0%,0.0%,30.9%,CON,-25.2%,+10.1%,+23.1%,+19.2%,+3.2%,,,-30.5%
Bob Stewart,CON,LAB,Beckenham and Penge,E14001083,Greater London,,24.0%,46.9%,9.3%,11.8%,7.9%,,,0.1%,LAB,,22.9%,"13,766",,"14,434","28,201","5,590","7,091","4,761",0,74,,LAB HOLD,x,39.1%,40.1%,16.1%,0.8%,4.0%,0.0%,0.0%,0.0%,LAB,-15.2%,+6.8%,-6.5%,+10.7%,+4.0%,,,+0.1%
Mohammad Yasin,LAB,LAB,Bedford,E14001084,East of England,,14.5%,54.0%,8.5%,16.8%,5.7%,,,0.5%,LAB,,37.2%,"17,346",,"6,753","25,168","3,960","7,822","2,671",0,221,,LAB HOLD,x,42.0%,44.3%,10.0%,1.7%,2.0%,0.0%,0.0%,0.0%,LAB,-27.7%,+9.7%,-1.1%,+14.6%,+3.9%,,,+0.5%
Neil Coyle,LAB,LAB,Bermondsey and Old Southwark,E14001085,Greater London,,8.6%,51.7%,24.4%,7.2%,7.1%,,,1.0%,LAB,,27.3%,"12,554",,"3,955","23,737","11,182","3,283","3,257",0,477,,LAB HOLD,,16.8%,49.6%,31.1%,2.4%,0.1%,0.0%,0.0%,0.0%,LAB,-8.3%,+2.1%,-6.5%,+4.5%,+7.2%,,,+1.0%
Rushanara Ali,LAB,LAB,Bethnal Green and Stepney,E14001086,Greater London,,5.5%,66.5%,5.0%,6.5%,10.6%,,,5.8%,LAB,,55.9%,"27,963",,"2,748","33,252","2,513","3,261","5,289",0,"2,910",,LAB HOLD,,10.1%,73.5%,9.3%,2.0%,4.2%,0.0%,0.0%,0.9%,LAB,-4.6%,-6.0%,-4.0%,+4.5%,+6.5%,,,+3.6%
Graham Stuart,CON,LAB,Beverley and Holderness,E14001087,Yorkshire and the Humber,,29.7%,34.9%,8.1%,22.2%,4.4%,,,0.7%,LAB,,5.2%,"2,586",,"14,682","17,268","4,030","10,984","2,188",0,335,,LAB GAIN,,61.0%,24.7%,9.3%,0.0%,2.5%,0.0%,0.0%,2.6%,CON,-31.6%,+10.5%,-0.7%,+21.7%,+2.0%,,,-1.9%
Huw Merriman,CON,LAB,Bexhill and Battle,E14001088,South East,,29.2%,30.6%,10.8%,21.2%,6.9%,,,1.4%,LAB,,1.4%,675,,"14,534","15,209","5,352","10,527","3,450",0,677,,LAB GAIN,,61.8%,20.8%,13.4%,0.0%,4.1%,0.0%,0.0%,0.0%,CON,-32.9%,+10.0%,-2.1%,+20.6%,+3.0%,,,+1.4%
David Evennett,CON,CON,Bexleyheath and Crayford,E14001089,Greater London,,39.5%,34.3%,3.7%,17.6%,4.6%,,,0.2%,CON,,5.2%,"2,459",,"18,690","16,232","1,748","8,341","2,162",0,113,,CON HOLD,,60.8%,29.0%,6.0%,0.9%,2.3%,0.0%,0.0%,1.1%,CON,-21.4%,+5.6%,-2.1%,+16.4%,+2.4%,,,-0.9%
Unknown (new seat),CON,LDM,Bicester and Woodstock,E14001090,South East,,26.3%,21.8%,34.1%,13.0%,3.7%,,,1.2%,LDM,,7.8%,"4,065",,"13,657","11,324","17,722","6,781","1,913",0,620,,LDM GAIN,,53.9%,16.9%,26.6%,0.3%,2.4%,0.0%,0.0%,0.0%,CON,-28.1%,+4.8%,+8.3%,+12.4%,+1.4%,,,+1.1%
Mick Whitley,LAB,LAB,Birkenhead,E14001091,North West,,5.4%,59.2%,5.0%,17.7%,11.6%,,,1.1%,LAB,,41.5%,"21,517",,"2,818","30,674","2,572","9,157","6,011",0,556,,LAB HOLD,,15.6%,60.0%,4.0%,3.4%,3.0%,0.0%,0.0%,14.1%,LAB,-10.3%,-0.6%,+1.2%,+13.9%,+8.8%,,,-13.0%
Preet Gill,LAB,LAB,Birmingham Edgbaston,E14001092,West Midlands,,10.8%,61.4%,6.7%,13.8%,6.7%,,,0.7%,LAB,,47.6%,"21,702",,"4,928","27,982","3,036","6,280","3,071",0,297,,LAB HOLD,,35.5%,52.3%,7.3%,2.4%,2.6%,0.0%,0.0%,0.0%,LAB,-24.9%,+9.1%,-0.3%,+11.1%,+4.4%,,,+0.7%
Jack Dromey,LAB,LAB,Birmingham Erdington,E14001093,West Midlands,,17.8%,58.6%,3.5%,15.0%,3.7%,,,1.4%,LAB,,40.8%,"16,917",,"7,391","24,308","1,462","6,221","1,534",0,586,,LAB HOLD,x,41.5%,49.4%,3.3%,4.0%,1.8%,0.0%,0.0%,0.0%,LAB,-24.5%,+9.3%,+0.5%,+11.2%,+2.1%,,,+1.4%
Tahir Ali,LAB,LAB,Birmingham Hall Green and Moseley,E14001094,West Midlands,,5.9%,66.7%,7.4%,9.8%,6.1%,,,4.1%,LAB,,56.9%,"29,499",,"3,045","34,547","3,844","5,048","3,141",0,"2,133",,LAB HOLD,,15.0%,66.3%,7.2%,1.9%,1.7%,0.0%,0.0%,8.0%,LAB,-9.3%,-0.4%,+0.9%,+8.1%,+4.7%,,,-4.0%
Liam Byrne,LAB,LAB,Birmingham Hodge Hill and Solihull North,E14001095,West Midlands,,8.1%,62.3%,4.3%,16.1%,7.4%,,,1.7%,LAB,,46.2%,"19,060",,"3,360","25,723","1,773","6,662","3,067",0,722,,LAB HOLD,,28.6%,59.9%,4.3%,3.1%,3.5%,0.0%,0.0%,0.6%,LAB,-20.6%,+2.5%,+0.1%,+12.9%,+4.0%,,,+1.1%
